"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"1","Off White Crewneck",150,"2019-03-17T23:48:08.342Z","graiIedsoul",194,"Off-White",120
"2","Nike Fear Of God 1",500,"2019-03-18T00:00:15.965Z","pageavenue2",32,"Nike",450
"3","Yeezy kids see ghosts ksg long sleeve",65,"2019-03-17T23:29:26.765Z","RonAquino",3,"Yeezy Season",77
"4","Nike Air Force 1 Low Off-White",542,"2019-03-17T23:32:16.618Z","mmr",339,"Nike",555
"5","Skull Hoodie Grey",105,"2019-03-17T23:24:53.384Z","JohnWockhardt",144,"Marino Infantry",125
"6","Plantation Pleated Button Up Shirt Issey Miyake",48,"2019-03-17T23:51:40.611Z","mysarahmods",306,"Issey Miyake",60
"7","Supreme Warm Up Crewneck Black",121,"2019-03-17T23:49:42.224Z","Salez",2,"Supreme",110
"8","2009 Youth Crew Crewneck",140,"2019-03-17T23:54:43.493Z","OGHeat",129,"Supreme",130
"9","Jacquard Repeat Logo",90,"2019-03-17T23:05:23.752Z","SeaSeller",47,"Supreme",110
"10","Albini Merino Broadcloth Button Up - Blue",80,"2019-03-17T22:52:04.628Z","rschlaikjer",3,"Outlier",83
"11","Maison Martin Margiela - 2008 - Line 22 - distressed cap toe sneaker",210,"2019-03-17T23:34:42.127Z","nickhomyk",37,"Maison Margiela",175
"12","Gucci Rainbow Logo Hoodie",500,"2019-03-17T22:28:51.478Z","sauceboy300",34,"Gucci",330
"13","Vlone Staple Shirt",150,"2019-03-17T22:36:05.840Z","JMM",2,"Vlone",100
"14","Balenciaga Logo Hoodie White",382,"2019-03-17T23:30:32.783Z","sauceboy300",36,"Balenciaga",250
"15","Fendi Slim Fit Jeans LAST DROP PRICE",256,"2019-03-17T22:32:54.817Z","noflexxxzone",12,"Fendi",286
"16","Supreme Floral Skate Deck",90,"2019-03-17T22:05:38.891Z","tylerchip1",5,"Supreme",90
"17","M+RC NOIR ""GHOST"" PVC BLACK TRANSPARENT PVC BAG",234,"2019-03-17T22:54:10.040Z","codeine_dream",65,"M+Rc Noir",244
"18","Palace Princess Diana Longsleeve",100,"2019-03-17T21:55:48.940Z","natemchoe",4,"Palace",108
"19","Supreme",140,"2019-03-17T21:48:01.532Z","AntiGolfBoys913",101,"Supreme",140
"20","Supreme x Comme des garcons crusher digital green camo S/M",64,"2019-03-17T22:03:11.688Z","sethrollins",432,"Supreme",64
"21","Rhude Malboro Tee",103,"2019-03-17T21:47:34.535Z","yurisells011",30,"Rhude",90
"22","Vintage Redline Selvedge Jeans",94,"2019-03-17T21:55:42.670Z","travis_2",21,"A.P.C.",109
"23","Brains Tee",64,"2019-03-17T22:14:03.264Z","supremeconnect",26,"Supreme",64
"24","Sicko Hoodie",234,"2019-03-17T21:29:07.262Z","STORMONEIL",29,"Ian Connor",242
"25","Revenge Lust White Tee",100,"2019-03-17T21:27:40.075Z","maximusprime",451,"Revenge",75
"26","Amiri Track Stack",261,"2019-03-17T21:50:35.266Z","Chapito",32,"Amiri",255
"27","Common Project Achilles Low White US 9, EU 42",270,"2019-03-17T21:48:16.520Z","deedao",3,"Common Projects",250
"28","Vivienne Westwood Necklace",135,"2019-03-17T22:29:50.842Z","Dripnational",136,"Vivienne Westwood",105
