"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"52","Bape glow in the dark tee",81,"2019-03-11T22:10:21.210Z","jeeohly",25,"Bape",101
"53","Travis Scott Embroidered ""Scattered"" Astroworld Hoodie",108,"2019-03-12T02:05:24.941Z","greyscale",32,"Travis Scott",90
"54","Supreme Vertical Logo Baseball Jersey",190,"2019-03-11T23:04:26.977Z","JGARRISON11",6,"Supreme",130
"55","Black Sock Boots",138,"2019-03-11T22:22:47.302Z","jalexanderrichards",3,"Rick Owens Drkshdw",120
"56","Detroit Cut",95,"2019-03-11T22:06:06.915Z","jordanwebb516",17,"Rick Owens Drkshdw",95
"57","Neil Barrett White Black Shirt Slim Fit Long",81,"2019-03-11T22:03:03.933Z","nobadenergy",385,"Neil Barrett",70
"58","Ye Wyoming Orange Hoodie",70,"2019-03-11T22:24:05.930Z","claytonerickson7",20,"Kanye West",78
"59","Escobar Sweatpants",130,"2019-03-11T22:25:25.541Z","dilly_dosage",6,"John Elliott",90
"60","Stadium Jacket - Black",123,"2019-03-12T00:00:08.649Z","enriquemartinez119",5,"3sixteen",118
"61","Air jordan retro 1 satin Aleali may",294,"2019-03-11T21:50:37.574Z","harryp11239",29,"Jordan Brand",240
"62","Air jordan retro 1 satin",283,"2019-03-11T21:52:37.453Z","harryp11239",29,"Jordan Brand",291
"63","Original Sin Tee Woodland Camo M",50,"2019-03-12T00:18:46.712Z","CodeRad",45,"Supreme",62
"64","Daniel Patrick Road Hoodie Navy",78,"2019-03-11T21:36:13.903Z","commethruandchill",11,"Daniel Patrick",88
"65","Supreme x vans x Comme Des Garcons",291,"2019-03-11T23:19:24.670Z","flexonmyex",28,"Supreme",260
"66","Vlone Skull and Bones Longsleeve",126,"2019-03-12T00:43:17.679Z","mikehardingarchive",241,"Vlone",124
"67","Astro World No Bystanders Tee",67,"2019-03-11T21:27:48.795Z","mainmanb1123",108,"Travis Scott",50
